Sexo,Edad,Provincia,Cantón,Distrito,Nivel Educativo,Tiene Trabajo ,Ocupacion,Modalidad,Estado Civil,Jefe de Familia,Edad del jefe de familia,Sexo del jefe de familia,Nivel educativo del jefe de familia,Ocupación del jefe del hogar,Hace las compras,Toma decisiones administrativas,Material de pisos,Tienen empleada domestica,Dormitorios,Baños,Automóviles,Aspiradora,Lavadora,Secadora,Calentador,Home Theater,Videojuegos,Computadora,Internet,Es padre o encargado,Orientación sexual,Compra por internet 3 meses,Compra por internet 30 días,Ultima vez Internet,Servicio de streaming,Televisión ONLINE
Mujer,25,Limón,Pococí,Jiménez,Universitaria Incompleta,No,Ama de casa,No aplica,Casado (a)'/' Unión Libre,No,32,Hombre,Secundaria Incompleta,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios (Prod. Artesanal)",Si,Si,Cerámica '/' Porcelanato,No,Dos,Dos,Ninguno,No,No,No,Si,No,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Hombre,54,San José,Desamparados,Los Guidos,Secundaria Incompleta,No,Jubilado '/' pensionado,No aplica,Casado (a)'/' Unión Libre,Si,54,Hombre,Secundaria Incompleta,Pensionados,Si,Si,Cemento (Pulido o no Pulido),No,Dos,Uno,Ninguno,No,Si,No,No,No,No,Si,Si,Si,Heterosexual,No,No,Ayer,Si,No
Mujer,46,Guanacaste,Santa Cruz,Tamarindo,Universitaria Completa,No,Ama de casa,No aplica,Soltero (a),Si,46,Mujer,Universitaria Completa,Personal de apoyo administrativo,Si,Si,Cerámica '/' Porcelanato,Si,Tres,Dos,Uno,Si,Si,Si,Si,Si,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Mujer,53,San José,Vásquez de Coronado,San Isidro,Primaria Completa,No,Desocupado,No aplica,Viudo (a),Si,53,Mujer,Primaria Completa,No remunerado,Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Ninguno,No,No,No,No,No,No,No,Si,Si,Heterosexual,No,No,Ayer,No,No
Mujer,40,Puntarenas,Garabito,Tárcoles,Universitaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,No,53,Hombre,Secundaria Incompleta,"Operadores de instalaciones, maquinarias y ensambladores (Montaje)",No,No,Cerámica '/' Porcelanato,No,Dos,Dos,Uno,No,Si,Si,No,No,No,No,Si,No,Heterosexual,No,No,Ayer,Si,Si
Mujer,37,Guanacaste,Tilarán,Tilarán,Universitaria Completa,Si,Ocupado,Presencial,Separado(a) '/' Divorciado (a),Si,37,Mujer,Universitaria Completa,"Nivel profesional, científico e intelectual",Si,Si,Cemento (Pulido o no Pulido),No,Tres,Uno,Uno,No,Si,No,No,No,No,Si,Si,Si,Heterosexual,Si,No,Ayer,Si,Si
Mujer,35,Limón,Pococí,Guápiles,Secundaria Incompleta,No,Desocupado,No aplica,Separado(a) '/' Divorciado (a),Si,35,Mujer,Secundaria Incompleta,"Agricultores y trabajadores calificados agropecuarios, agrícolas, forestales y pesqueros",Si,Si,Cemento (Pulido o no Pulido),No,Tres,Uno,Ninguno,No,No,No,No,Si,No,No,No,Si,Heterosexual,No,No,Ayer,No,Si
Mujer,18,Heredia,San Rafael,San Rafael,Universitaria Incompleta,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,18,Mujer,Universitaria Incompleta,Trabajadores de servicios y vendedores de comercios y mercados,No,Si,Cerámica '/' Porcelanato,No,Tres,Dos,Dos,Si,Si,Si,Si,No,Si,Si,Si,Si,Heterosexual,Si,Si,Hace 2 a 7 días,No,No
Hombre,41,Guanacaste,Liberia,Liberia,Universitaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,41,Hombre,Universitaria Completa,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios (Prod. Artesanal)",Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Uno,No,Si,Si,No,Si,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Hombre,31,San José,Goicoechea,Guadalupe,Universitaria Incompleta,No,Desocupado,No aplica,Soltero (a),No,39,Hombre,Universitaria Completa,"Nivel técnico, y profesional de nivel medio",No,No,Cerámica '/' Porcelanato,No,Uno,Uno,Ninguno,No,No,No,No,No,No,Si,Si,No,Homosexual,No,No,Ayer,No,No
Mujer,45,Cartago,Cartago,Dulce Nombre,Universitaria Incompleta,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,No,50,Hombre,Secundaria Completa,Personal de apoyo administrativo,Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Uno,No,Si,No,No,No,No,No,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Mujer,47,Alajuela,Poás,Carrillos,Primaria Completa,Si,Ocupado,Presencial,Separado(a) '/' Divorciado (a),Si,47,Mujer,Primaria Completa,No remunerado,Si,Si,Cerámica '/' Porcelanato,No,Tres,Ninguno,Ninguno,No,Si,No,Si,No,Si,Si,Si,Si,Prefiero no decirlo,No,No,Ayer,Si,Si
Hombre,27,Puntarenas,Esparza,Espíritu Santo,Universitaria Incompleta,Si,Ocupado,Teletrabajo,Soltero (a),Si,27,Hombre,Universitaria Incompleta,"Nivel profesional, científico e intelectual",Si,Si,Cemento (Pulido o no Pulido),No,Uno,Uno,Ninguno,No,Si,No,No,No,No,Si,Si,No,Homosexual,Si,No,Ayer,Si,No
Mujer,38,Guanacaste,Carrillo,Sardinal,Secundaria Incompleta,No,Ama de casa,No aplica,Casado (a)'/' Unión Libre,Si,38,Mujer,Secundaria Incompleta,Desocupados,Si,Si,Cemento (Pulido o no Pulido),No,Uno,Uno,Ninguno,No,No,Si,No,No,No,No,Si,Si,Heterosexual,No,No,Ayer,No,No
Mujer,39,Puntarenas,Buenos Aires,Buenos Aires,Secundaria Incompleta,No,Ama de casa,No aplica,Casado (a)'/' Unión Libre,Si,39,Mujer,Secundaria Incompleta,Estudiantes,Si,Si,Cemento (Pulido o no Pulido),No,Dos,Uno,Ninguno,No,No,No,No,No,No,Si,Si,Si,Heterosexual,No,No,Ayer,No,No
Mujer,35,Limón,Matina,Matina,Universitaria Incompleta,No,Ama de casa,No aplica,Soltero (a),Si,35,Mujer,Universitaria Incompleta,Ocupaciones elementales (No calificados),Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Uno,No,Si,No,No,No,No,Si,No,Si,Heterosexual,Si,Si,Ayer,No,Si
Mujer,37,Guanacaste,Liberia,Liberia,Universitaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,37,Mujer,Universitaria Completa,Trabajadores de servicios y vendedores de comercios y mercados,Si,Si,Cemento (Pulido o no Pulido),No,Cuatro,Tres,Dos,Si,No,No,Si,Si,Si,Si,Si,No,Heterosexual,Si,Si,Ayer,No,Si
Mujer,36,Limón,Guácimo,Guácimo,Universitaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,36,Mujer,Universitaria Completa,"Nivel técnico, y profesional de nivel medio",Si,Si,Cemento (Pulido o no Pulido),Si,Dos,Uno,Uno,No,No,No,No,No,No,Si,Si,Si,Heterosexual,No,No,Ayer,No,Si
Mujer,19,Puntarenas,Garabito,Jacó,Secundaria Completa,No,Estudiante,No aplica,Soltero (a),Si,19,Mujer,Secundaria Completa,"Agricultores y trabajadores calificados agropecuarios, agrícolas, forestales y pesqueros",Si,Si,Cemento (Pulido o no Pulido),No,Dos,Uno,Ninguno,No,No,No,No,No,No,Si,No,Si,Bisexual,No,No,Hace 2 a 7 días,No,Si
Mujer,57,Puntarenas,Osa,Puerto Cortés,Secundaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,57,Mujer,Secundaria Completa,Ocupaciones elementales (No calificados),Si,Si,Cemento (Pulido o no Pulido),No,Dos,Uno,Ninguno,No,No,No,No,No,No,No,Si,No,Heterosexual,Si,Si,Ayer,No,Si
Mujer,43,Puntarenas,Coto Brus,Sabalito,Universitaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,No,43,Hombre,Universitaria Completa,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,Si,Tres,Uno,Uno,No,Si,No,Si,No,No,Si,Si,Si,Heterosexual,Si,No,Ayer,No,No
Hombre,45,Guanacaste,Tilarán,Tilarán,Secundaria Incompleta,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,45,Hombre,Secundaria Incompleta,Estudiantes,Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Uno,Si,Si,No,No,No,No,No,Si,Si,Prefiero no decirlo,No,Si,Ayer,No,Si
Mujer,49,Cartago,Oreamuno,San Rafael,Universitaria Incompleta,Si,Ocupado,Presencial,Separado(a) '/' Divorciado (a),Si,49,Mujer,Universitaria Incompleta,"Nivel profesional, científico e intelectual",Si,Si,Cerámica '/' Porcelanato,Si,Tres,Dos,Ninguno,No,Si,No,No,Si,Si,Si,Si,No,Heterosexual,Si,Si,Hace 2 a 7 días,Si,Si
Hombre,62,Puntarenas,Coto Brus,Sabalito,Universitaria Incompleta,No,Desocupado,No aplica,Casado (a)'/' Unión Libre,No,62,Hombre,Universitaria Incompleta,Pensionados,Si,Si,Cemento (Pulido o no Pulido),No,Dos,Uno,Ninguno,No,No,No,No,No,No,No,No,Si,Prefiero no decirlo,No,No,Ayer,No,Si
Mujer,28,Guanacaste,La Cruz,La Cruz,Secundaria Completa,No,Estudiante,No aplica,Soltero (a),Si,28,Mujer,Secundaria Completa,Trabajadores de servicios y vendedores de comercios y mercados,Si,Si,Cerámica '/' Porcelanato,No,Uno,Uno,Ninguno,No,Si,No,No,No,No,Si,No,No,Heterosexual,Si,Si,Ayer,Si,Si
Hombre,36,San José,Santa Ana,Pozos,Universitaria Incompleta,No,Desocupado,No aplica,Soltero (a),No,63,Hombre,Posgrado,Pensionados,Si,Si,Cerámica '/' Porcelanato,No,Tres,Tres,Uno,No,No,Si,Si,No,No,Si,Si,Si,Heterosexual,Si,No,Ayer,No,Si
Mujer,62,Puntarenas,Esparza,San Juan Grande,Primaria Completa,Si,Ocupado,Presencial,Soltero (a),Si,62,Mujer,Primaria Completa,Ocupaciones elementales (No calificados),Si,Si,Terrazo '/' Mosaico '/' Alfombra '/' Vinil,No,Dos,Uno,Ninguno,No,Si,No,No,No,No,No,No,Si,Prefiero no decirlo,No,No,Ayer,No,No
Mujer,60,Cartago,Turrialba,La IsabeL,Primaria Completa,No,Ama de casa,No aplica,Casado (a)'/' Unión Libre,No,62,Hombre,Primaria Incompleta,Pensionados,No,No,Cerámica '/' Porcelanato,No,Dos,Uno,Ninguno,No,Si,No,No,No,No,No,Si,Si,Heterosexual,No,No,Ayer,Si,No
Mujer,70,San José,Escazú,Escazú,Universitaria Incompleta,No,Ama de casa,No aplica,Casado (a)'/' Unión Libre,No,77,Hombre,Universitaria Incompleta,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,No,Tres,Dos,Uno,Si,Si,No,No,No,No,Si,Si,No,Heterosexual,No,No,Ayer,No,Si
Mujer,45,San José,San José,Pavas,Primaria Completa,Si,Ocupado,Presencial,Soltero (a),Si,45,Mujer,Primaria Completa,Ocupaciones elementales (No calificados),Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Ninguno,No,Si,No,No,No,No,Si,No,Si,Heterosexual,Si,No,Ayer,No,Si
Mujer,33,Alajuela,Naranjo,Naranjo,Universitaria Completa,Si,Ocupado,Teletrabajo,Soltero (a),Si,33,Mujer,Universitaria Completa,"Nivel profesional, científico e intelectual",Si,Si,Cerámica '/' Porcelanato,No,Cuatro,Uno,Uno,No,Si,No,No,No,Si,Si,Si,No,Heterosexual,No,No,Ayer,No,No
Mujer,55,San José,Goicoechea,Guadalupe,Secundaria Incompleta,No,Ama de casa,No aplica,Separado(a) '/' Divorciado (a),No,52,Mujer,Primaria Incompleta,No remunerado,Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Ninguno,No,Si,Si,No,No,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,No,Si
Hombre,61,San José,Vásquez de Coronado,Patalillo,Secundaria Incompleta,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,61,Hombre,Secundaria Incompleta,Ocupaciones elementales (No calificados),Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Ninguno,No,Si,Si,No,No,No,Si,Si,No,Heterosexual,No,No,Ayer,No,Si
Hombre,56,San José,Aserrí,Aserrí,Secundaria Incompleta,No,Desocupado,No aplica,Separado(a) '/' Divorciado (a),Si,56,Hombre,Secundaria Incompleta,No remunerado,Si,Si,Cerámica '/' Porcelanato,No,Cuatro,Uno,Ninguno,No,No,No,No,No,No,Si,Si,Si,Heterosexual,No,No,Ayer,No,No
Hombre,42,Limón,Pococí,Colorado,Secundaria Incompleta,No,Desocupado,No aplica,Casado (a)'/' Unión Libre,Si,42,Hombre,Secundaria Incompleta,Desocupados,Si,Si,Cerámica '/' Porcelanato,No,Cinco,Tres,Ninguno,No,Si,No,No,No,No,No,Si,Si,Heterosexual,No,No,Ayer,No,No
Mujer,23,San José,Pérez Zeledón,San Isidro de El General,Universitaria Incompleta,No,Estudiante,No aplica,Soltero (a),No,46,Mujer,Secundaria Completa,Personal de apoyo administrativo,No,No,Terrazo '/' Mosaico '/' Alfombra '/' Vinil,No,Tres,Uno,Ninguno,No,Si,No,Si,No,No,Si,Si,No,Bisexual,No,No,Ayer,Si,Si
Mujer,47,Guanacaste,Tilarán,Tilarán,Secundaria Completa,Si,Ocupado,Presencial,Separado(a) '/' Divorciado (a),Si,47,Mujer,Secundaria Completa,Trabajadores de servicios y vendedores de comercios y mercados,Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Uno,No,No,No,No,No,Si,No,Si,Si,Heterosexual,Si,Si,Ayer,No,No
Mujer,39,Cartago,Paraíso,Paraíso,Secundaria Completa,Si,Ocupado,Presencial,Separado(a) '/' Divorciado (a),Si,39,Mujer,Secundaria Completa,Pensionados,Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Ninguno,No,Si,Si,No,No,No,Si,Si,Si,Heterosexual,No,No,Más 3 meses,No,No
Mujer,71,San José,San José,Hatillo,Secundaria Incompleta,No,Jubilado '/' pensionado,No aplica,Separado(a) '/' Divorciado (a),Si,71,Mujer,Secundaria Incompleta,Pensionados,Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Ninguno,No,Si,No,No,No,No,Si,Si,No,Homosexual,Si,Si,Ayer,No,Si
Mujer,31,Puntarenas,Coto Brus,San Vito,Universitaria Incompleta,Si,Ocupado,Presencial,Soltero (a),Si,31,Mujer,Universitaria Incompleta,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios (Prod. Artesanal)",Si,Si,Cerámica '/' Porcelanato,Si,Uno,Uno,Ninguno,No,No,No,No,No,No,Si,Si,Si,Homosexual,No,No,Ayer,No,Si
Hombre,38,Guanacaste,Santa Cruz,Santa Cruz,Universitaria Completa,Si,Ocupado,Teletrabajo,Casado (a)'/' Unión Libre,Si,38,Hombre,Universitaria Completa,Trabajadores de servicios y vendedores de comercios y mercados,Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Uno,No,No,No,No,No,Si,Si,Si,Si,Heterosexual,No,Si,Ayer,Si,Si
Mujer,33,Limón,Limón,Limón,Secundaria Completa,No,Desocupado,No aplica,Casado (a)'/' Unión Libre,Si,33,Mujer,Secundaria Completa,Desocupados,Si,Si,Cerámica '/' Porcelanato,No,Tres,Dos,Ninguno,No,Si,No,No,No,No,No,Si,Si,Prefiero no decirlo,No,No,Ayer,No,Si
Mujer,48,Limón,Pococí,Guápiles,Secundaria Incompleta,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,No,48,Hombre,Secundaria Incompleta,"Agricultores y trabajadores calificados agropecuarios, agrícolas, forestales y pesqueros",Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Uno,No,No,No,No,No,No,Si,Si,Si,Otros,No,No,Ayer,No,Si
Hombre,63,Guanacaste,Santa Cruz,Tamarindo,Secundaria Incompleta,No,Desocupado,No aplica,Separado(a) '/' Divorciado (a),Si,63,Hombre,Secundaria Incompleta,Ocupaciones elementales (No calificados),Si,Si,Cemento (Pulido o no Pulido),No,Dos,Uno,Ninguno,No,No,Si,No,No,No,No,Si,No,Heterosexual,No,No,Ayer,No,Si
Mujer,40,Alajuela,Atenas,San José,Universitaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,No,47,Hombre,Universitaria Completa,"Nivel profesional, científico e intelectual",Si,Si,Cerámica '/' Porcelanato,No,Tres,Tres,Dos,Si,Si,No,Si,Si,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,Si
Mujer,71,San José,Pérez Zeledón,San Isidro de El General,Universitaria Completa,No,Jubilado '/' pensionado,No aplica,Soltero (a),Si,71,Mujer,Universitaria Completa,Pensionados,Si,Si,Cerámica '/' Porcelanato,Si,Tres,Dos,Uno,Si,No,No,No,No,No,Si,Si,Si,Heterosexual,No,No,Ayer,No,Si
Mujer,35,Puntarenas,Puntarenas,Cóbano,Secundaria Completa,No,Estudiante,No aplica,Soltero (a),No,35,Mujer,Secundaria Completa,"Nivel técnico, y profesional de nivel medio",No,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Ninguno,No,No,No,No,No,No,Si,Si,No,Heterosexual,No,No,Ayer,No,No
Hombre,64,Guanacaste,Santa Cruz,Veintisiete de Abril,Primaria Completa,No,Desocupado,No aplica,Separado(a) '/' Divorciado (a),Si,64,Hombre,Primaria Completa,Desocupados,Si,Si,Cemento (Pulido o no Pulido),No,Uno,Uno,Ninguno,No,No,No,No,No,No,No,No,Si,Bisexual,No,No,Ayer,Si,Si
Hombre,45,Guanacaste,Liberia,Liberia,Secundaria Incompleta,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,45,Hombre,Secundaria Incompleta,Desocupados,Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Uno,No,Si,No,No,No,No,No,Si,Si,Heterosexual,Si,Si,Ayer,No,Si
Mujer,20,Limón,Pococí,Guápiles,Universitaria Incompleta,No,Estudiante,No aplica,Soltero (a),No,46,Hombre,Universitaria Incompleta,Trabajadores de servicios y vendedores de comercios y mercados,No,No,Cerámica '/' Porcelanato,No,Cuatro,Dos,Uno,Si,Si,No,Si,No,Si,Si,Si,No,Asexual,Si,No,Ayer,Si,No
Hombre,58,Heredia,Heredia,Mercedes,Universitaria Completa,Si,Ocupado,Hibrido,Casado (a)'/' Unión Libre,Si,58,Hombre,Universitaria Completa,"Nivel profesional, científico e intelectual",Si,Si,Cerámica '/' Porcelanato,No,Tres,Dos,Uno,Si,Si,No,Si,No,Si,Si,Si,Si,Heterosexual,Si,Si,Ayer,Si,No
Mujer,61,Limón,Pococí,Guápiles,Universitaria Completa,No,Desocupado,No aplica,Separado(a) '/' Divorciado (a),No,45,Hombre,Universitaria Completa,"Nivel profesional, científico e intelectual",No,No,Cerámica '/' Porcelanato,No,Tres,Tres,Uno,No,Si,No,No,Si,Si,Si,Si,No,Heterosexual,Si,No,Ayer,Si,Si
Mujer,57,San José,Desamparados,Frailes,Secundaria Incompleta,No,Ama de casa,No aplica,Casado (a)'/' Unión Libre,Si,57,Mujer,Secundaria Incompleta,Desocupados,Si,Si,Cerámica '/' Porcelanato,No,Tres,Uno,Ninguno,No,Si,No,Si,No,No,No,Si,Si,Heterosexual,No,No,Ayer,No,Si
Mujer,46,Puntarenas,Coto Brus,San Vito,Secundaria Completa,Si,Ocupado,Presencial,Separado(a) '/' Divorciado (a),Si,46,Mujer,Secundaria Completa,Trabajadores de servicios y vendedores de comercios y mercados,Si,Si,Cerámica '/' Porcelanato,No,Dos,Dos,Ninguno,No,Si,No,No,Si,No,Si,Si,Si,Heterosexual,Si,Si,Ayer,No,Si
Mujer,33,Limón,Limón,Limón,Primaria Completa,No,Ama de casa,No aplica,Soltero (a),Si,33,Mujer,Primaria Completa,Ocupaciones elementales (No calificados),Si,Si,Cerámica '/' Porcelanato,No,Dos,Uno,Ninguno,No,No,Si,No,No,No,No,No,Si,Heterosexual,No,No,Ayer,Si,Si
Hombre,63,Puntarenas,Puntarenas,El Roble,Universitaria Incompleta,No,Jubilado '/' pensionado,No aplica,Separado(a) '/' Divorciado (a),Si,63,Hombre,Universitaria Incompleta,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,Si,Cuatro,Dos,Ninguno,No,Si,Si,No,Si,No,No,Si,Si,Otros,No,No,Ayer,No,No
Mujer,42,Heredia,Heredia,Heredia,Secundaria Completa,Si,Ocupado,Presencial,Casado (a)'/' Unión Libre,Si,42,Mujer,Secundaria Completa,"Nivel técnico, y profesional de nivel medio",Si,Si,Cerámica '/' Porcelanato,No,Tres,Dos,Uno,No,Si,Si,Si,Si,Si,Si,Si,Si,Heterosexual,No,No,Ayer,Si,Si
Mujer,25,Puntarenas,Buenos Aires,Buenos Aires,Secundaria Completa,Si,Ocupado,Presencial,Soltero (a),Si,25,Mujer,Secundaria Completa,"Agricultores y trabajadores calificados agropecuarios, agrícolas, forestales y pesqueros",Si,Si,Cerámica '/' Porcelanato,Si,Tres,Dos,Uno,Si,Si,Si,No,No,No,Si,Si,No,Heterosexual,Si,Si,Ayer,Si,Si
